church_name,street_address,city,state,zip,type,word_count
THE WELL,33W835 Cherry Ln,Geneva,IL,60134,NA,2
Connect Church - Downtown,701 Murfreesboro Pike,Nashville,TN,37210,NA,4
The Believers Church,7905 Smyrna Pkwy,Louisville,KY,40228,NA,3
ITOWN Church - Olson Farms,12491 E 136th St,Fishers,IN,46038,NA,5
New Life Church - Cabot,3400 West Main St,Cabot,AR,72023,NA,5
LifeMission Church - Ottawa,3085 Marshall Rd,Ottawa,KS,66067,NA,4
Renovation Church,325 Maple St,Gallatin,TN,37066,NA,2
Heartland Church,14900 E 126th St,Fishers,IN,46037,NA,2
Keypoint Church - Springdale,1404 Chester Ave,Springdale,AR,72764,NA,4
Motor City Church - Louisville,10307 Seatonville Rd,Louisville,KY,40291,NA,5
New Life Church - Conway,633 S Country Club Rd,Conway,AR,72034,NA,5
Generations Church,408 Church St,Franklin,TN,37064,NA,2
Reset Church,6n921 IL-25,Wayne,IL,60184,NA,2
Lifepoint Church Louisville,809 N Pope Lick Rd,Louisville,KY,40243,NA,3
New Life Church - Fayetteville,2035 North College Ave,Fayetteville,AR,72703,NA,5
Velocity Church,4000 W 6th St,Lawrence,KS,66049,NA,2
New Tribe Church,1279 N Mt. Juliet Rd,Mt. Juliet,TN,37122,NA,3
New Life Church,1803 E Vaile Ave,Kokomo,IN,46901,NA,3
Fuel Church - Kokomo,2021 E Markland Ave,Kokomo,IN,46062,NA,4
Gateway Church,1288 Lewisburg Pike,Franklin,TN,37064,NA,2
New Life Church - Russellville,130 East Harrell Dr,Russellville,AR,72802,NA,5
Union Church - Iowa,8383 Ridgeview Dr,Des Moines,IA,50320,NA,4
New Life Church - Mayflower,4 Grove St,Mayflower,AR,72106,NA,5
New Life Church - Clarksville,1127 S Rogers,Clarksville,AR,72830,NA,5
Free Church,200 N Oak Park Ave,Oak Park,IL,60302,NA,2
Connect Church - Mount Juliet,14500 Central Pike,Mt. Juliet,TN,37122,NA,5
HighPoint Church,901 19th St,Des Moines,IA,50314,NA,2
People Church - Chicago,1147 N Western Ave,Chicago,IL,Roberto Clemente Community Academy,School,4
Vital Church,700 N Progress Ave,Siloam Springs,AR,72761,NA,2
New Life Church - Greater Little Rock,8000 Crystal Hill Rd,North Little Rock,AR,72118,NA,7
The River Church - Chesterton,75 E 1100 N,Chesterton,IN,46304,NA,5
good news in the neighborhood,312 E Wood St,Palatine,IL,60067,NA,5
New Life Church - West Little Rock,5701 Ranch Dr.,Little Rock,AR,72223,NA,7
New Life Church - Downtown Little Rock,610 Main St,Little Rock,AR,72201,NA,7
Summitcreek Church,13007 Douglas Pkwy,Urbandale,IA,50323,NA,2
Mission Lighthouse Church,18 County Rd 252,Luka,MS,38852,NA,3
Christian Life Church,745 Cason Ln,Murfreesboro,TN,37128,NA,3
Alinea Church,853 Dejarnette Ln,Murfreesboro,TN,37130,NA,2
Avenue Church,116 N Walnut St,Murfreesboro,TN,37128,NA,2
The River Church - Marion,759 S Lenfesty Ave,Marion,IN,46953,NA,5
Impact Church,4137 Shelbyville Hwy,Murfreesboro,TN,37127,NA,2
New Life Church - Saline County,4200 AR-5,Bryant,AR,72022,NA,6
New Song Church - Wabash,619 N State Rd 13,Wabash,IN,46992,NA,5
New Song Church,1292 Baker St,Plymouth,IN,46563,NA,3
Hope City Church - Waterloo,118 High St,Waterloo,IA,50703,NA,5
Church of the Highlands - Shoals,10 Hightower Place,Florence,AL,Marriott Shoals Conference Center,Community Center,6
Hope City Church - Cedarloo,3712 Cedar Heights,Cedar Falls,IA,50613,NA,5
Generations Church,815 Orchard Dr,Cedar Falls,IA,50613,NA,2
Discovery Church,4241 Hwy 336,Pontotoc,MS,38863,NA,2
Encounter Church - Village,8415 Park Ave,Hot Springs,AR,71901,NA,4
New Life Church - Fort Smith,9000 S Dallas St,Fort Smith,AR,72903,NA,6
The Sycamore Church,1212 Nelle St,Tupelo,MS,38804,NA,3
Hope Rising,1131 Etna Ave,Huntington,IN,46750,NA,2
King City Church,1921 Briar Ridge Rd,Tupelo,MS,38804,NA,3
New Life Church - Pine Bluff,2801 S Olive St,Pine Bluff,AR,NA,NA,6
Your Place Church,3131 W 520 Rd,Pryor,OK,74361,NA,3
DayBreak Church,5631 6th Ave,Kenosha,WI,53140,NA,2
Central City Church,400 Dubois Rd,Cookeville,TN,NA,NA,3
Capitoland Church,3651 Maple Grove Dr,Madison,WI,53719,NA,2
Encounter Church - Springs,115 Lakeshore Dr,Hot Springs,AR,71901,NA,4
New Life Church - Hot Springs,300 Pakis St,Hot Springs,AR,71913,NA,6
Metro Believers Church,575 D'Onofrio Dr,Madison,WI,NA,NA,3
ITOWN Church - Bluffton,1 Tiger Trail,Bluffton,IN,46714,NA,4
The Gathering Place,3800 Mall Rd,Lexington,KY,40503,NA,3
Refuge Church - Athens,1412 Lindsay Ln S,Athens,AL,35613,NA,4
Elkhart City Church,431 S 3rd St,Elkhart,IN,46516,NA,3
Queen City Church,2488 Madison Rd,Cincinnati,OH,45208,NA,3
Soul Revival Church,2119 Rapids Dr,Racine,WI,53403,NA,3
Refuge Church - Harvest,5700 Hwy 53,Harvest,AL,35749,NA,4
City Church,4222 SE Rice Creek Rd,Bartlesville,OK,74006,NA,2
